19/03/21 03:53:15 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-1-m/10.138.0.3:8032
19/03/21 03:53:16 INFO client.AHSProxy: Connecting to Application History server at hadoop-cluster-1-m/10.138.0.3:10200
19/03/21 03:53:16 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
19/03/21 03:53:17 INFO input.FileInputFormat: Total input files to process : 74
19/03/21 03:53:17 INFO mapreduce.JobSubmitter: number of splits:74
19/03/21 03:53:17 INFO Configuration.deprecation: yarn.resourcemanager.system-metrics-publisher.enabled is deprecated. Instead, use yarn.system-metrics-publisher.enabled
19/03/21 03:53:17 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1553057637959_0004
19/03/21 03:53:18 INFO impl.YarnClientImpl: Submitted application application_1553057637959_0004
19/03/21 03:53:18 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-1-m:8088/proxy/application_1553057637959_0004/
19/03/21 03:53:18 INFO mapreduce.Job: Running job: job_1553057637959_0004
19/03/21 03:53:25 INFO mapreduce.Job: Job job_1553057637959_0004 running in uber mode : false
19/03/21 03:53:25 INFO mapreduce.Job:  map 0% reduce 0%
19/03/21 03:53:45 INFO mapreduce.Job:  map 4% reduce 0%
19/03/21 03:53:46 INFO mapreduce.Job:  map 8% reduce 0%
19/03/21 03:53:47 INFO mapreduce.Job:  map 10% reduce 0%
19/03/21 03:54:15 INFO mapreduce.Job:  map 11% reduce 0%
19/03/21 03:54:21 INFO mapreduce.Job:  map 12% reduce 0%
19/03/21 03:54:23 INFO mapreduce.Job:  map 13% reduce 0%
19/03/21 03:54:28 INFO mapreduce.Job:  map 14% reduce 0%
19/03/21 03:54:31 INFO mapreduce.Job:  map 15% reduce 0%
19/03/21 03:54:35 INFO mapreduce.Job:  map 16% reduce 0%
19/03/21 03:54:37 INFO mapreduce.Job:  map 17% reduce 0%
19/03/21 03:54:44 INFO mapreduce.Job:  map 18% reduce 0%
19/03/21 03:54:46 INFO mapreduce.Job:  map 19% reduce 0%
19/03/21 03:54:49 INFO mapreduce.Job:  map 20% reduce 0%
19/03/21 03:54:50 INFO mapreduce.Job:  map 21% reduce 0%
19/03/21 03:54:51 INFO mapreduce.Job:  map 22% reduce 0%
19/03/21 03:54:53 INFO mapreduce.Job:  map 23% reduce 0%
19/03/21 03:55:02 INFO mapreduce.Job:  map 25% reduce 0%
19/03/21 03:55:12 INFO mapreduce.Job:  map 26% reduce 0%
